register number,name,units,interpretation,decode,defaults
00001,Digital input 0,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00002,Digital input 1,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00003,Digital input 2,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00004,Digital input 3,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00005,Digital input 4,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00006,Digital input 5,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00007,Digital input 6,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00008,Digital input 7,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00009,Digital input 8,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00010,Digital input 9,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00011,Digital input 10,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00012,Digital input 11,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00013,Digital input 12,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00014,Digital input 13,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00015,Digital input 14,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
00016,Digital input 15,bool,Discrete input exposed through coil mapping,0 = low or closed; 1 = high or open,
40211 - 40212,Module name,,Four-character module identifier,,
40213 - 40214,Firmware version,,Four-character version identifier,,
