register number,name,units,interpretation,decode,defaults
40033,Expanded fault flags,,,Bit field defined by detector firmware,
40034,Expanded status flags,,,Bit field defined by detector firmware,
40035,Fault flags,,,Bit field defined by detector firmware,
40036,Status flags,,,Bit field defined by detector firmware,
40037 - 40038,Unblanked concentration,,IEEE-754 float32,,
40039 - 40040,Unblanked concentration percent full scale,%,IEEE-754 float32,,
40041 - 40042,Temperature,deg C,IEEE-754 float32,,
40043 - 40044,Blanked concentration,,IEEE-754 float32; primary displayed gas reading,,
40045 - 40046,Blanked concentration percent full scale,%,IEEE-754 float32,,
40047 - 40048,Loop output,mA,IEEE-754 float32,,
40049 - 40050,Fixed loop value,mA,IEEE-754 float32,,
40051,DAC output,count,10-bit raw DAC value,,
40052,Scaled concentration,count,12-bit representation,0 = fault; 300 = inhibit; 800 = 0 percent full scale; 4000 = 100 percent full scale,
40053 - 40054,Raw concentration ADC,count,Signed 32-bit integer,,
40055 - 40056,Lightly filtered concentration ADC,count,Signed 32-bit integer,,
40057 - 40058,Heavily filtered concentration ADC,count,Signed 32-bit integer,,
40059 - 40060,Concentration damping constant,,IEEE-754 float32,,
40061 - 40062,Raw temperature ADC,count,Signed 32-bit integer,,
40063 - 40064,Lightly filtered temperature ADC,count,Signed 32-bit integer,,
40065 - 40066,Heavily filtered temperature ADC,count,Signed 32-bit integer,,
40067 - 40068,Temperature damping constant,,IEEE-754 float32,,
40073 - 40074,Concentration full-scale range,,IEEE-754 float32,,
40561 - 40568,Gas name,,16-character string,,
40569 - 40572,Concentration units,,8-character string,,
40883 - 40884,Hardware revision,,IEEE-754 float32,,
