register number,name,units,interpretation,decode,defaults
40001,Register map version,,Integer version; 135 represents version 1.35,,
40002,Command,,Command register,,
40003,Device status,,Bit field,Bit 0 = running; bit 1 = sampling; bit 2 = new data; bit 3 = device error,
40004,Firmware version,,Integer firmware version,,
40005 - 40006,Serial number,,Unsigned 32-bit integer; high word first,,
40007 - 40014,Product name,,16-character string,,
40015 - 40022,Model name,,16-character string,,
40023,Flow rate,CFM,Unsigned integer divided by 100,,
40024,Record count,records,,,
40025,Record index,,Signed integer,-1 = latest record,
40026,Location,,,,
40027 - 40028,Real-time clock,s,Unsigned 32-bit Unix timestamp,,
40029 - 40030,Initial delay,s,Unsigned 32-bit integer,,
40031 - 40032,Hold time,s,Unsigned 32-bit integer,,
40033 - 40034,Sample time,s,Unsigned 32-bit integer,,
30001 - 30002,Sample timestamp,s,Unsigned 32-bit Unix timestamp; high word first,,
30003 - 30004,Sample duration,s,Unsigned 32-bit integer,,
30005 - 30006,Sample location,,Unsigned 32-bit integer,,
30007 - 30008,Data status,,Low byte contains status flags,Bit field defined by record-map version,
30009 - 30010,Particle channel 1,count,Unsigned 32-bit integer; high word first,,
30011 - 30012,Particle channel 2,count,Unsigned 32-bit integer; high word first,,
30013 - 30014,Particle channel 3,count,Unsigned 32-bit integer; high word first,,
30015 - 30016,Particle channel 4,count,Unsigned 32-bit integer; high word first,,
30017 - 30018,Particle channel 5,count,Unsigned 32-bit integer; high word first,,
30019 - 30020,Particle channel 6,count,Unsigned 32-bit integer; high word first,,
30021 - 30022,Particle channel 7,count,Unsigned 32-bit integer; high word first,,
30023 - 30024,Particle channel 8,count,Unsigned 32-bit integer; high word first,,
30074,Valid particle channels,count,Number of populated particle channels,,
30076,Particle alarm flags,,One bit per particle channel,0 = normal; 1 = alarm,
