register number,name,units,interpretation,decode,defaults
40001,Device ID,,,0x00AC = U1000MKII-FM or U1000MKII-HM,
40002,Status,,,0 = OK; nonzero = fault,
40003,System type,,,4 = heating; 12 = chiller,
40007 - 40008,Measured velocity,m/s,IEEE-754 float32; most-significant byte first,,
40009 - 40010,Measured flow,,IEEE-754 float32; units depend on instrument unit setting,,
40011 - 40012,Calculated power,,IEEE-754 float32; kW in metric mode or BTU/s in imperial mode,,
40013 - 40014,Calculated energy,,IEEE-754 float32; kWh in metric mode or BTU in imperial mode,,
40015 - 40016,Hot temperature,,IEEE-754 float32; deg C in metric mode or deg F in imperial mode,,
40017 - 40018,Cold temperature,,IEEE-754 float32; deg C in metric mode or deg F in imperial mode,,
40019 - 40020,Differential temperature,,IEEE-754 float32; deg C in metric mode or deg F in imperial mode,,
40021 - 40022,Volume total,,IEEE-754 float32; m3 in metric mode or US gal in imperial mode,,
40023,Instrument units,,,0 = metric; 1 = imperial,0
40024,Gain,dB,,,
40025,Signal-to-noise ratio,dB,,,
40026,Signal,%,,,
40027 - 40028,Delta-time difference,ns,IEEE-754 float32,,
40029 - 40030,ETA diagnostic,ns,IEEE-754 float32,,
40031 - 40032,ATA diagnostic,ns,IEEE-754 float32,,
