register number,name,units,interpretation,decode,defaults
3 - 4,Serial number,,Unsigned 32-bit integer,,
6,Control flags,,,Bit field defined by firmware,
8,Status flags,,,Bit field defined by firmware,
101 - 102,Date and time,s,Unsigned 32-bit Unix timestamp,,
109 - 110,Forward volume total,,IEEE-754 float32,,
111 - 112,Reverse volume total,,IEEE-754 float32,,
113 - 114,Forward energy total,,IEEE-754 float32,,
115 - 116,Reverse energy total,,IEEE-754 float32,,
133 - 134,Instantaneous power,,IEEE-754 float32,,
135,Flow-side temperature,deg C,Signed integer divided by 100,,
136,Return-side temperature,deg C,Signed integer divided by 100,,
137 - 138,Operating status flags,,Unsigned 32-bit bit field,,
139,Damping,,Unsigned 16-bit value,,
140,Signal quality,%,Unsigned integer divided by 100,,
141,Signal-to-noise ratio,dB,Signed integer divided by 100,,
142,Signal,dB,Signed integer divided by 100,,
143,Gain,dB,Signed integer divided by 100,,
