register number,name,units,interpretation,decode,defaults
40001 - 40002,PV or rate display,user units,IEEE-754 float32,-99999 = under range; 999999 = over range,
40003,Alarm and relay status,,16-bit field; bits 0 through 7 are relay states; bits 8 through 15 are alarm states,0 = inactive; 1 = active,
40004,Digital I/O status,,16-bit field; bits 0 through 7 are outputs; bits 8 through 15 are inputs,0 = inactive; 1 = active,
40005 - 40006,Maximum display,user units,IEEE-754 float32,,
40007 - 40008,Minimum display,user units,IEEE-754 float32,,
40009 - 40010,Total,user units,IEEE-754 float32,,
40011 - 40012,Grand total,user units,IEEE-754 float32,,
40013 - 40014,Total overflow,user units,IEEE-754 float32,,
40015 - 40016,Total non-overflow,user units,IEEE-754 float32,,
40017 - 40018,Grand total overflow,user units,IEEE-754 float32,,
40019 - 40020,Grand total non-overflow,user units,IEEE-754 float32,,
40021 - 40022,PV or rate integer,user units,Signed 32-bit integer excluding the configured decimal point,,
40102,PV or rate decimal point,,Decimal-place configuration,,
