register number,name,units,interpretation,decode,defaults
1 - 2,Gas reading,,IEEE-754 float32; units selected by register 5,,
3,Modbus address,,Valid range 0 through 247,,
4,Gas type,,,0 = H2S; 1 = SO2; 2 = O2; 3 = CO; 4 = Cl2; 5 = CO2; 6 = LEL; 7 = VOC; 9 = HCl; 10 = NH3; 12 = ClO2; 13 = HCN; 14 = F2; 15 = HF; 16 = CH2O; 17 = NO2; 18 = O3; 26 = PH3; 27 = HBr; 28 = EtO; 29 = CH3SH; 30 = AsH3,
5,Unit type,,,0 = ppm; 1 = percent,
6,Firmware major revision,,,,
7,Firmware minor revision,,,,
8,Sensor mode,,,0 = normal; 1 = zero; 2 = calibration; 3 = alarm test; 5 = diagnostic; 6 = advanced; 7 = administrator,
9 - 10,Supply voltage,V,IEEE-754 float32; expected operating range 12 through 35 V,,
11,Fault code,,,0 = none; 1 = sensor-board communication loss; 4 = sensor-element communication loss; 5 = zero error; 6 = calibration error,
12,Sensor type,,,Model-dependent sensor enumeration,
14 - 15,Relay 1 setting,,IEEE-754 float32,,
16 - 17,Relay 2 setting,,IEEE-754 float32,,
22,Display precision,decimal places,Valid range 0 through 3,,
23,Relay settings,,Bit field defined by firmware,,
24,Days since last zero,days,Unsigned 16-bit integer,Values greater than 60000 = never,
25,Calibration type,,,Firmware enumeration,
26 - 27,Auto-calibration value,,IEEE-754 float32,,
28,Days since calibration,days,Unsigned 16-bit integer,Values greater than 60000 = never,
30,Relay 1 state,,,0 = inactive; 1 = active,
31,Relay 2 state,,,0 = inactive; 1 = active,
