register number,name,units,interpretation,decode,defaults
33,Expanded fault flags,,,bit 0 = factory calibration fault; bit 1 = stack overflow; bits 2 through 15 = reserved,
34,Expanded status flags,,,bit 0 = gas generator installed; bit 1 = gas generator type valid; bit 2 = gas generator range valid; bit 3 = alarm test active; bit 4 = autotest in progress; bit 5 = autotest pass; bit 6 = cannot begin autotest; bit 7 = autotest failed; bit 8 = auto-clean active; bit 9 = auto-clean recovering; bits 10 through 15 = reserved,
35,Fault flags,,,bit 0 = gas sensor ADC read fault; bit 1 = LCD bus fault; bit 2 = SPI bus fault; bit 3 = temperature ADC read fault; bit 4 = gas sensor input fault; bit 5 = gas sensor removed; bit 6 = gas sensor memory checksum fault; bit 7 = gas sensor configuration fault or awaiting verification; bit 8 = gas generator removed; bit 9 = gas generator configuration fault; bit 10 = system setup memory checksum fault; bit 11 = alarm memory checksum fault; bit 12 = operator interface memory checksum fault; bit 13 = HART memory checksum fault; bit 14 = autotest failure; bit 15 = relay option voltage missing,
36,Status flags,,,bit 0 = caution active; bit 1 = warning active; bit 2 = alarm active; bit 3 = fault active; bit 4 = CWAF inhibit active; bit 5 = transmitter security active; bit 6 = system data log active; bit 7 = current loop output fixed; bit 8 = temperature input over range; bit 9 = temperature input under range; bit 10 = gas input over range; bit 11 = gas input under range; bit 12 = data log checksum error; bit 13 = calibration history not initialized; bit 14 = power-on delay; bit 15 = reserved,
37 - 38,Unblanked concentration,,IEEE-754 float32,,
39 - 40,Unblanked concentration percent full scale,%,IEEE-754 float32,,
41 - 42,Temperature,deg C,IEEE-754 float32,,
43 - 44,Blanked concentration,,IEEE-754 float32; primary displayed gas reading,,
45 - 46,Blanked concentration percent full scale,%,IEEE-754 float32,,
47 - 48,Loop output,mA,IEEE-754 float32,,
49 - 50,Fixed loop value,mA,IEEE-754 float32,,
51,DAC output,count,10-bit raw DAC value,,
52,Scaled concentration,count,12-bit representation,0 = fault; 300 = inhibit; 800 = 0 percent full scale; 4000 = 100 percent full scale,
53 - 54,Raw concentration ADC,count,Signed 32-bit integer,,
55 - 56,Lightly filtered concentration ADC,count,Signed 32-bit integer,,
57 - 58,Heavily filtered concentration ADC,count,Signed 32-bit integer,,
59 - 60,Concentration damping constant,,IEEE-754 float32,,
61 - 62,Raw temperature ADC,count,Signed 32-bit integer,,
63 - 64,Lightly filtered temperature ADC,count,Signed 32-bit integer,,
65 - 66,Heavily filtered temperature ADC,count,Signed 32-bit integer,,
67 - 68,Temperature damping constant,,IEEE-754 float32,,
73 - 74,Concentration full-scale range,,IEEE-754 float32,,
883 - 884,Hardware revision,,IEEE-754 float32,,
